Source Name	characteristics[sample type]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[synthetic molecule]	characteristics[biological replicate]	Assay Name	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[cleavage agent details]	comment[instrument]	comment[label]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	10_06_2022_A8028_3_N2_8028_3_BCR_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	10_06_2022_A8028_3_N2_8028_3_BCR_ABL_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	10_06_2022_A8028_3_N2_8028_3_BCR_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	10_06_2022_A8028_3_N3_8028_3_BCR_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	10_06_2022_A8028_3_N3_8028_3_BCR_ABL_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	10_06_2022_A8028_3_N3_8028_3_BCR_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	10_06_2022_A8028_3_N4_8028_3_BCR_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	10_06_2022_A8028_3_N4_8028_3_BCR_ABL_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	10_06_2022_A8028_3_N4_8028_3_BCR_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	15_06_2022_A8028_11_N1_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	15_06_2022_A8028_11_N1_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	15_06_2022_A8028_11_N1_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	15_06_2022_A8028_11_N2_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	15_06_2022_A8028_11_N2_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	15_06_2022_A8028_11_N2_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	15_06_2022_A8028_11_N3_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	15_06_2022_A8028_11_N3_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	15_06_2022_A8028_11_N3_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	15_06_2022_A8028_11_N4_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	15_06_2022_A8028_11_N4_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	15_06_2022_A8028_11_N4_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	15_06_2022_A8028_11_N1_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	15_06_2022_A8028_11_N1_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	15_06_2022_A8028_11_N2_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	15_06_2022_A8028_11_N2_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
